City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Tasiilaq,GL,65.61,-37.64,24.8,68,100,14.99
Ushuaia,AR,-54.8,-68.3,39.2,64,40,9.17
Vardø,NO,70.37,31.11,28.11,93,74,13.85
Pevek,RU,69.7,170.31,9.97,91,4,14.23
Coquimbo,CL,-29.95,-71.34,57.2,87,74,5.82
Pizarro,CO,4.95,-77.37,78.17,89,100,5.44
Jamestown,US,42.1,-79.24,36.27,59,1,5.82
Pitimbu,BR,-7.47,-34.81,77.0,94,20,6.93
Nsoko,SZ,-27.03,31.95,68.0,77,0,4.99
Nikolskoye,RU,59.7,30.79,36.86,69,32,6.71
Rikitea,PF,-23.12,-134.97,78.55,80,92,9.15
Lorengau,PG,-2.02,147.27,84.88,69,51,3.24
Dikson,RU,73.51,80.55,17.42,96,95,7.16
Pochutla,MX,15.74,-96.47,77.0,86,41,7.16
Mahébourg,MU,-20.41,57.7,82.63,65,40,18.34
Cabo San Lucas,MX,22.89,-109.91,62.98,69,66,1.01
Punta Arenas,CL,-53.15,-70.92,39.97,93,75,10.29
Jiuquan,CN,39.74,98.52,61.81,12,88,7.25
Busselton,AU,-33.65,115.33,78.01,39,67,11.45
Whyalla,AU,-33.03,137.58,62.6,51,74,8.05
La Paz,BO,-16.5,-68.15,35.6,43,0,2.24
Lieksa,FI,63.32,30.02,32.14,84,54,10.27
Port Elizabeth,ZA,-33.92,25.57,69.8,49,20,17.22
Mbekenyera,TZ,-10.0,38.98,76.51,77,95,7.63
Khatanga,RU,71.97,102.5,32.63,98,100,18.21
Atuona,PF,-9.8,-139.03,82.27,70,26,7.67
Norman Wells,CA,65.28,-126.83,24.8,49,75,5.82
Cetraro,IT,39.52,15.94,50.49,84,0,1.01
Kapaa,US,22.08,-159.32,72.36,73,90,4.7
Yellowknife,CA,62.46,-114.35,7.41,55,5,3.36
Kaitangata,NZ,-46.28,169.85,60.01,73,91,1.01
Port Augusta,AU,-32.5,137.77,68.9,51,60,8.05
Cape Town,ZA,-33.93,18.42,62.08,93,75,14.99
Haines Junction,CA,60.75,-137.51,22.62,80,4,2.26
Zyryanka,RU,65.75,150.85,31.86,95,17,14.12
Chimbote,PE,-9.09,-78.58,72.54,80,46,7.09
Carnarvon,AU,-24.87,113.63,86.0,62,24,18.34
Upernavik,GL,72.79,-56.15,21.11,85,97,4.14
La Rioja,ES,42.25,-2.5,51.8,87,74,5.82
Chiang Klang,TH,19.29,100.86,96.8,37,52,9.17
Port Hedland,AU,-20.32,118.57,91.4,49,40,21.92
Srednekolymsk,RU,67.45,153.68,31.57,96,50,9.37
Mt. Pleasant,US,32.79,-79.86,54.48,93,40,11.27
Margate,GB,51.38,1.39,50.88,87,15,2.24
Kruisfontein,ZA,-34.0,24.73,66.67,41,99,14.65
Santa Flavia,IT,38.09,13.54,57.24,54,7,2.33
Thompson,CA,55.74,-97.86,12.2,78,75,11.41
Port Alfred,ZA,-33.59,26.89,70.0,61,33,4.0
Ponta do Sol,PT,32.67,-17.1,59.77,82,75,10.29
Bengkulu,ID,-3.8,102.27,89.22,60,30,6.6
Kuandian,CN,40.73,124.78,57.56,29,5,8.99
Włoszczowa,PL,50.85,19.97,44.37,48,55,8.08
Quatre Cocos,MU,-20.21,57.76,82.71,65,40,18.34
Mataura,NZ,-46.19,168.86,66.99,61,38,5.1
Tiksi,RU,71.69,128.87,5.86,90,84,16.24
Khani,GE,41.96,42.96,46.4,100,75,3.36
Iwanai,JP,42.97,140.51,40.05,68,0,6.38
Leningradskiy,RU,69.38,178.42,15.89,90,93,4.99
Waingapu,ID,-9.66,120.26,83.39,71,21,5.26
Vaini,TO,-21.2,-175.2,78.8,74,40,5.82
Salalah,OM,17.02,54.09,84.2,70,40,13.87
Olafsvik,IS,64.89,-23.71,33.26,89,51,18.75
Albany,US,42.6,-73.97,29.05,92,1,3.36
Iskateley,RU,67.68,53.15,19.63,96,48,9.86
Leshukonskoye,RU,64.9,45.76,28.74,92,0,3.15
Yinchuan,CN,38.47,106.27,58.6,16,29,6.91
Kānt,IN,27.8,79.8,99.72,12,0,12.12
Arraial do Cabo,BR,-22.97,-42.03,71.69,77,47,6.42
Tuktoyaktuk,CA,69.45,-133.04,5.0,71,75,10.29
Hithadhoo,MV,-0.6,73.08,84.74,68,9,8.57
Yulara,AU,-25.24,130.99,93.2,13,75,4.7
Poum,NC,-20.23,164.02,80.02,71,71,9.69
Maryborough,AU,-25.53,152.7,80.01,44,0,5.99
Comodoro Rivadavia,AR,-45.87,-67.5,50.0,57,1,13.87
New Norfolk,AU,-42.78,147.06,56.7,55,75,17.22
Castro,BR,-24.79,-50.01,55.69,69,61,5.48
Boyolangu,ID,-8.12,111.89,86.68,60,62,5.82
Chokurdakh,RU,70.63,147.92,23.05,95,98,14.12
Banda Aceh,ID,5.56,95.32,88.41,62,68,5.28
Bredasdorp,ZA,-34.53,20.04,65.17,68,71,25.28
Valsamáta,GR,38.17,20.6,53.85,100,2,2.48
Avarua,CK,-21.21,-159.78,82.4,94,100,4.7
Hermanus,ZA,-34.42,19.23,63.1,80,70,11.99
Mar del Plata,AR,-38.0,-57.56,55.06,93,100,3.36
Butaritari,KI,3.07,172.79,83.03,77,99,12.93
Barra,BR,-11.09,-43.14,74.32,77,100,6.22
Hambantota,LK,6.12,81.12,86.41,68,9,11.21
Guiratinga,BR,-16.35,-53.76,69.6,82,9,1.72
Kultuk,RU,51.72,103.7,41.52,55,100,4.74
Dingle,PH,11.0,122.67,90.07,49,11,8.63
Ojinaga,MX,29.57,-104.42,69.98,9,1,11.41
Zhezkazgan,KZ,47.8,67.71,51.8,31,90,8.95
Dalianwan,CN,39.03,121.69,57.2,41,2,20.13
Seydi,TM,39.48,62.91,68.52,47,99,2.84
Erenhot,CN,43.65,111.98,58.3,18,0,8.41
Tura,IN,25.52,90.22,94.78,19,12,3.96
Marawi,PH,8.0,124.29,83.44,46,21,6.6
Francistown,BW,-21.17,27.51,69.8,52,55,1.12
Lavrentiya,RU,65.58,-171.0,31.84,98,99,8.75
Ylivieska,FI,64.08,24.55,31.48,65,99,8.99
Labuhan,ID,-6.88,112.21,87.22,64,73,4.34
Souillac,MU,-20.52,57.52,82.67,65,40,19.46
Pangnirtung,CA,66.15,-65.71,24.31,89,100,9.42
Arrondissement du Havre,FR,49.58,0.33,50.97,93,4,4.34
Hilo,US,19.73,-155.09,70.34,74,90,4.7
Saint-Philippe,RE,-21.36,55.77,76.32,74,75,16.11
Puerto Ayora,EC,-0.74,-90.35,79.0,89,58,1.99
Tilichiki,RU,60.47,166.1,15.42,92,0,4.41
Bambous Virieux,MU,-20.34,57.76,82.69,65,40,18.34
Bilibino,RU,68.05,166.44,17.58,89,91,3.04
Cuajinicuilapa,MX,16.47,-98.42,72.84,83,0,2.77
Hualmay,PE,-11.1,-77.61,72.14,79,24,7.31
Henties Bay,NA,-22.12,14.28,63.0,89,10,1.99
Geraldton,AU,-28.77,114.6,82.8,62,28,11.41
Lebu,CL,-37.62,-73.65,50.09,79,0,11.36
Laas,IT,46.62,10.7,45.01,93,5,4.7
Codrington,AU,-38.27,141.97,57.25,63,97,10.49
Chui,UY,-33.7,-53.46,59.22,83,16,4.0
Bayangol,RU,50.7,103.47,48.97,29,94,5.28
Farah,AF,32.5,62.5,75.67,29,100,3.29
Dubbo,AU,-32.25,148.62,66.2,48,0,9.17
Itupiranga,BR,-5.13,-49.33,77.0,100,90,3.36
Faanui,PF,-16.48,-151.75,82.49,73,53,12.73
Banjar,ID,-8.19,114.97,86.0,74,40,4.7
Vynohradove,UA,46.37,32.94,45.0,50,0,15.01
Torbay,CA,47.67,-52.73,32.23,95,40,17.22
Mbengwi,CM,6.02,10.0,65.43,50,57,2.19
Esperance,AU,-33.87,121.9,82.4,45,100,18.34
Kahului,US,20.89,-156.47,72.25,65,40,6.93
Loikaw,MM,19.67,97.21,96.96,11,100,6.22
Mount Isa,AU,-20.73,139.5,91.4,9,13,11.41
Nhulunbuy,AU,-12.23,136.77,84.2,74,40,13.87
Ambunti,PG,-4.24,142.84,83.44,88,92,3.4
Bluff,NZ,-46.6,168.33,66.99,61,47,8.9
Matagami,CA,49.75,-77.63,28.4,74,90,9.17
Komarikhinskiy,RU,58.1,57.12,50.0,74,100,11.18
Puerto Gaitán,CO,4.31,-72.08,77.88,80,7,3.71
Itoman,JP,26.12,127.67,64.33,63,75,29.97
Ketchikan,US,55.34,-131.65,41.32,64,1,11.41
Saint George,US,37.1,-113.58,57.63,54,90,3.38
Thabazimbi,ZA,-24.59,27.41,64.0,73,0,0.98
Hong Kong,HK,22.29,114.16,74.75,35,4,10.29
Rawson,AR,-43.3,-65.1,55.22,38,0,11.54
Saint-Pierre,RE,-21.34,55.48,77.14,74,75,16.11
Tayoltita,MX,24.08,-105.93,55.87,34,39,1.97
Mehamn,NO,71.04,27.85,27.09,95,100,11.39
Dunedin,NZ,-45.87,170.5,60.46,73,100,1.01
Vytegra,RU,61.01,36.45,34.7,77,0,4.12
Wanning,CN,18.8,110.4,72.0,82,100,17.85
Peiting,DE,47.8,10.93,45.39,80,2,4.7
Mindelo,CV,16.89,-24.98,71.6,78,75,20.8
Philadelphia,US,39.95,-75.16,38.41,48,20,3.11
La Libertad,EC,-2.23,-80.9,76.33,86,100,5.91
Fairbanks,US,64.84,-147.72,35.01,55,40,0.83
Kumul,CN,42.8,93.45,71.13,11,35,4.03
Khanbari,NP,27.37,87.2,85.73,14,0,5.91
Bandarbeyla,SO,9.49,50.81,83.41,68,31,5.73
Clayton,US,33.53,-84.37,47.59,81,1,2.89
Kenai,US,60.55,-151.26,36.05,55,40,11.41
Nome,US,64.5,-165.41,30.2,92,90,9.17
Cascais,PT,38.7,-9.42,54.12,93,20,5.82
Kamenka,RU,51.32,42.77,37.99,73,96,11.99
Shīeli,KZ,44.17,66.75,61.32,68,100,2.86
Swan Hill,AU,-35.34,143.55,65.64,32,7,8.55
Millinocket,US,45.66,-68.71,30.42,74,1,3.36
Beaupré,CA,47.04,-70.9,30.97,94,5,5.82
Kuopio,FI,62.89,27.68,33.8,55,79,12.75
Richards Bay,ZA,-28.78,32.04,72.88,75,0,12.82
Sioux Lookout,CA,50.1,-91.92,28.09,74,90,9.17
Cayenne,GF,4.93,-52.33,80.6,78,90,6.93
Sicamous,CA,50.83,-118.99,33.57,47,1,6.93
Shimoda,JP,34.67,138.95,51.08,76,75,10.29
Muros,ES,42.78,-9.06,50.38,100,20,5.97
Klaksvík,FO,62.23,-6.59,37.4,64,86,27.51
Caravelas,BR,-17.71,-39.25,77.4,86,2,3.91
Longyearbyen,SJ,78.22,15.64,-5.8,70,20,3.36
Ribeira Grande,PT,38.52,-28.7,60.39,75,16,5.1
Zelenets,RU,61.88,50.75,28.4,63,20,6.71
Khāsh,IR,28.22,61.22,77.83,14,92,10.0
Barrow,US,71.29,-156.79,28.4,86,90,18.34
La Ronge,CA,55.1,-105.28,14.0,61,75,8.05
Marinhas,PT,41.56,-8.78,50.97,100,88,3.31
Nanortalik,GL,60.14,-45.24,37.98,73,100,46.37
Sulangan,PH,11.14,123.72,85.17,62,9,3.29
Hobart,AU,-42.88,147.33,57.45,55,75,17.22
Nizhniy Lomov,RU,53.53,43.68,34.34,76,100,24.56
Aklavik,CA,68.22,-135.01,17.6,67,75,5.82
Mana,GF,5.66,-53.78,76.95,81,98,8.72
Gēdo,ET,9.02,37.45,69.33,25,77,1.72
Ponnāni,IN,10.77,75.93,91.4,63,40,5.82
Ahipara,NZ,-35.17,173.17,67.3,78,71,19.46
Awjilah,LY,29.11,21.29,61.81,39,0,1.43
Opuwo,NA,-18.06,13.84,67.91,58,5,6.13
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,59,40,13.42
Karakol,KG,42.49,78.39,58.51,21,59,4.97
Sobolevo,RU,54.43,31.9,39.79,62,15,9.66
Augusto Corrêa,BR,-1.02,-46.63,76.82,93,100,1.97
Porteirinha,BR,-15.74,-43.03,69.48,78,70,6.04
Lakatoro,VU,-16.1,167.42,84.2,62,20,6.93
Neosho,US,36.87,-94.37,57.22,87,90,18.34
Hauterive,FR,46.09,3.45,43.61,49,3,6.93
Grants,US,35.15,-107.85,44.6,45,90,20.65
Dolinsk,RU,47.35,142.8,44.6,42,20,2.24
Kaeo,NZ,-35.1,173.78,65.48,89,66,8.99
Mezen',RU,65.85,44.24,26.53,93,0,4.36
Zhangye,CN,38.93,100.45,63.3,11,90,7.27
Provideniya,RU,64.38,-173.3,31.3,96,100,5.08
Barabai,ID,-2.58,115.38,83.21,70,94,1.88
Sambava,MG,-14.27,50.17,82.53,67,31,9.86
Alofi,NU,-19.06,-169.92,77.0,83,76,6.93
Cidreira,BR,-30.18,-50.21,62.96,75,26,3.13
Susner,IN,23.95,76.08,99.48,11,0,8.61
Igarka,RU,67.47,86.58,28.62,95,100,11.3
Flinders,AU,-34.58,150.86,68.4,30,0,5.82
Jumla,NP,29.27,82.18,66.99,88,0,1.01
Sármellék,HU,46.71,17.17,48.22,87,53,4.76
Qax,AZ,41.42,46.92,53.6,62,40,4.7
Bagotville,AU,-28.98,153.42,70.75,56,0,12.75
Viranşehir,TR,37.24,39.76,57.31,42,0,7.99
Karratha,AU,-20.74,116.85,90.9,39,1,18.63
Kalmunai,LK,7.42,81.82,88.18,61,20,7.09
Caetés,BR,-8.77,-36.62,65.32,80,81,5.08
Lata,PT,40.16,-8.33,52.97,95,32,1.48
Chegdomyn,RU,51.12,133.02,53.69,37,0,2.21
Tambacounda,SN,13.75,-13.76,84.2,45,22,6.93
Oistins,BB,13.07,-59.53,78.8,74,20,16.11
Husavik,IS,66.04,-17.34,30.2,58,90,11.41
Montalvo,EC,-1.8,-79.33,77.13,70,100,0.78
Angoram,PG,-4.06,144.07,84.02,79,100,4.09
Hamilton,US,39.18,-84.53,47.5,87,90,4.7
Ballina,AU,-28.87,153.57,70.79,56,9,12.75
Brufut,GM,13.38,-16.75,71.44,80,0,7.76
Port Hawkesbury,CA,45.62,-61.35,35.62,74,90,6.93
Touros,BR,-5.2,-35.46,75.2,100,40,3.36
Bethel,US,41.37,-73.41,33.87,74,1,3.36
Misratah,LY,32.38,15.09,61.12,64,0,7.96
Mersing,MY,2.43,103.84,91.4,70,40,5.82
St. George's,GD,12.06,-61.75,78.8,88,20,12.75
Aitape,PG,-3.14,142.35,83.82,77,100,5.75
Kargopol',RU,61.51,38.95,33.57,79,0,2.3
Novikovo,RU,51.15,37.89,38.68,64,0,16.78
Pacific Grove,US,36.62,-121.92,53.08,76,90,3.36
Mahon,ES,39.89,4.27,53.6,93,58,6.93
Östersund,SE,63.18,14.64,35.6,93,90,9.17
Qaanaaq,GL,77.48,-69.36,12.22,72,100,5.95
Kununurra,AU,-15.77,128.73,91.4,43,40,10.29
Saedinenie,BG,42.27,24.55,43.66,86,40,4.7
Tsogni,GA,-2.79,10.1,76.84,85,95,11.63
The Pas,CA,53.83,-101.25,14.0,66,1,5.82
Iqaluit,CA,63.75,-68.51,23.0,73,90,12.75
Kloulklubed,PW,7.04,134.26,89.6,62,75,9.17
Maykor,RU,59.01,55.88,40.1,82,100,5.93
Saint-Augustin,CA,51.23,-58.65,25.07,95,38,8.79
West Wendover,US,40.74,-114.07,50.0,37,1,14.99
Ayr,GB,55.46,-4.63,45.03,87,40,3.4
Muzhi,RU,65.37,64.67,22.82,91,84,4.36
Obertyn,UA,48.7,25.17,41.0,52,39,6.71
Ilava,SK,49.0,18.24,43.48,69,16,2.24
Seymchan,RU,62.88,152.43,28.62,92,94,5.1
Saint Paul Harbor,US,57.79,-152.41,37.4,86,90,20.8
Torres,BR,-29.34,-49.73,62.17,74,22,3.18
Kavieng,PG,-2.57,150.8,84.74,67,95,2.26
George Town,MY,5.41,100.34,91.2,66,20,6.93
Avera,US,33.19,-82.53,52.65,87,1,3.36
Sitka,US,57.05,-135.33,38.93,64,40,4.7
Kamakwie,SL,9.5,-12.23,78.66,83,23,2.53
Broome,US,42.25,-75.83,28.98,55,1,3.36
Kieta,PG,-6.22,155.63,83.91,73,99,2.37
Severo-Kuril'sk,RU,50.68,156.12,32.02,93,74,7.31
Yamada,JP,39.47,141.95,51.64,58,68,7.2
Deputatsky,RU,69.3,139.9,19.42,90,63,12.97
Phan Thiet,VN,10.93,108.1,87.48,60,83,11.5
East London,ZA,-33.02,27.91,71.6,73,96,4.7
Bom Jesus,BR,-9.07,-44.36,73.62,84,99,3.53
Itarema,BR,-2.92,-39.92,77.56,88,96,3.62
Vung Tau,VN,10.35,107.08,84.74,70,40,10.67
Baykalovo,RU,57.4,63.77,48.11,68,70,7.78
Coromandel,BR,-18.47,-47.2,62.28,74,0,2.91
Qeshm,IR,26.96,56.27,85.12,38,75,4.7
Bireun,ID,5.2,96.7,88.61,60,65,6.24
General Roca,AR,-39.03,-67.58,55.4,66,76,3.36
Saskylakh,RU,71.92,114.08,10.31,92,36,11.12
Asău,RO,46.43,26.4,43.05,65,16,1.12
Savannah Bight,HN,16.45,-85.85,82.04,81,6,29.66
Isla Vista,US,34.41,-119.86,54.36,87,1,5.82
Lahaina,US,20.88,-156.68,71.46,75,90,6.93
Polychrono,GR,40.02,23.53,58.35,81,53,8.32
Moba,CN,33.23,105.02,53.56,27,31,7.38
Qinzhou,CN,21.95,108.62,70.32,44,82,17.78
Russell,US,32.35,-85.2,51.62,87,1,4.18
Port-Cartier,CA,50.03,-66.87,29.26,54,20,6.93
Fort Nelson,CA,58.81,-122.7,26.6,45,75,2.8
Bontang,ID,0.13,117.5,85.62,63,9,8.1
San Miguel de Tucumán,AR,-26.82,-65.22,60.8,87,12,4.7
Hofn,IS,64.25,-15.21,28.27,88,14,16.51
Sur,OM,22.57,59.53,89.17,33,1,12.5
Quang Ngai,VN,15.12,108.8,81.82,79,84,8.37
Hasaki,JP,35.73,140.83,56.82,66,75,12.75
San Cristobal,VE,7.77,-72.22,67.77,61,68,2.42
Ocampo,MX,21.65,-101.5,61.75,17,55,12.15
Deniliquin,AU,-35.53,144.97,64.0,54,0,5.01
San Patricio,MX,19.22,-104.7,74.5,62,23,7.67
Saldanha,ZA,-33.01,17.94,60.8,93,96,6.93
North Platte,US,41.12,-100.77,37.4,93,90,26.4
Mandalī,IQ,33.75,45.55,70.75,33,21,4.25
Kayerkan,RU,69.35,87.76,17.6,85,75,33.55
Inuvik,CA,68.35,-133.72,17.6,67,75,5.82
Paisley,GB,55.83,-4.43,44.91,93,40,3.36
Gao,ML,16.64,1.64,78.1,26,6,3.53
San Borja,BO,-14.82,-66.85,67.77,75,0,1.5
Kidal,ML,18.44,1.41,81.45,22,49,5.86
Airai,TL,-8.93,125.41,66.51,69,99,3.58
Pisco,PE,-13.7,-76.22,71.92,78,20,2.24
Minatitlán,MX,17.98,-94.52,78.69,78,75,3.56
Bathsheba,BB,13.22,-59.52,78.8,74,20,14.99
Kuusamo,FI,65.97,29.18,23.0,67,93,9.17
Notsé,TG,6.95,1.17,76.03,84,61,2.08
Shiyan,CN,32.65,110.78,72.07,19,0,6.93
Bolitoc,PH,15.74,119.88,87.55,58,39,12.1
Beloha,MG,-25.17,45.05,78.98,57,100,6.82
Drochia,MD,48.03,27.82,44.06,53,76,8.41
Port-Gentil,GA,-0.72,8.78,80.01,83,99,11.56
Nangong,CN,37.36,115.37,74.39,17,0,16.67
Luanda,AO,-8.84,13.23,78.24,86,84,4.92
Port Macquarie,AU,-31.43,152.92,69.94,35,0,4.7
Pingdingshan,CN,33.74,113.3,73.09,19,0,15.52
Taoudenni,ML,22.68,-3.98,75.63,18,0,3.44
Yuzhnyy,RU,53.25,83.69,51.8,23,0,8.95
Suez,EG,29.97,32.53,62.82,65,0,7.96
Doka,SD,13.52,35.77,82.51,23,44,11.54
Manzhouli,CN,49.6,117.43,67.03,15,0,9.91
Inhambane,MZ,-23.86,35.38,75.2,78,0,5.68
Moncada,ES,39.55,-0.4,52.5,87,66,4.7
Nantucket,US,41.28,-70.1,39.69,48,1,9.17
Aswān,EG,24.09,32.91,69.91,23,0,8.68
Pangkalanbuun,ID,-2.68,111.62,89.92,56,45,4.03
Padang,ID,-0.95,100.35,85.33,72,60,2.68
Florø,NO,61.6,5.03,44.38,87,100,21.92
Biltine,TD,14.53,20.92,81.91,13,99,18.32
